name,owner,repo_name,stars,created_at,updated_at,primary_language,releases,open_issues,closed_issues,closed_issues_ratio,merged_pull_requests,age_years,days_since_update
practical-tutorials/project-based-learning,practical-tutorials,project-based-learning,240635,2017-04-12T05:07:46Z,2025-08-22T17:27:04Z,Unknown,0,131,79,0.38,182,8.36,0
facebook/react,facebook,react,238317,2013-05-24T16:15:54Z,2025-08-22T17:11:40Z,JavaScript,105,800,13196,0.94,12131,12.25,0
vuejs/vue,vuejs,vue,209292,2013-07-29T03:24:51Z,2025-08-22T14:01:30Z,TypeScript,249,355,9673,0.96,1133,12.07,0
TheAlgorithms/Python,TheAlgorithms,Python,204269,2016-07-16T09:44:01Z,2025-08-22T17:13:58Z,Python,0,76,1511,0.95,2976,9.1,0
torvalds/linux,torvalds,linux,200457,2011-09-04T22:48:12Z,2025-08-22T17:21:18Z,C,0,0,0,0.0,10,13.96,0
trekhleb/javascript-algorithms,trekhleb,javascript-algorithms,193051,2018-03-24T07:47:04Z,2025-08-22T17:06:13Z,JavaScript,0,137,229,0.63,302,7.41,0
tensorflow/tensorflow,tensorflow,tensorflow,191278,2015-11-07T01:19:20Z,2025-08-22T17:16:38Z,C++,219,902,39840,0.98,36018,9.79,0
ossu/computer-science,ossu,computer-science,190807,2014-05-04T00:18:39Z,2025-08-22T17:21:33Z,HTML,0,14,638,0.98,298,11.3,0
trimstray/the-book-of-secret-knowledge,trimstray,the-book-of-secret-knowledge,183251,2018-06-23T10:43:14Z,2025-08-22T17:20:37Z,Unknown,0,0,0,0.0,122,7.16,0
getify/You-Dont-Know-JS,getify,You-Dont-Know-JS,183000,2013-11-16T02:37:24Z,2025-08-22T17:15:27Z,Unknown,0,81,863,0.91,368,11.76,0
CyC2018/CS-Notes,CyC2018,CS-Notes,181536,2018-02-13T14:56:24Z,2025-08-22T17:04:52Z,Unknown,0,123,448,0.78,374,7.52,0
ohmyzsh/ohmyzsh,ohmyzsh,ohmyzsh,180875,2009-08-28T18:15:37Z,2025-08-22T15:41:52Z,Shell,0,140,4824,0.97,3377,15.98,0
Significant-Gravitas/AutoGPT,Significant-Gravitas,AutoGPT,177994,2023-03-16T09:21:07Z,2025-08-22T17:27:05Z,Python,68,162,3232,0.95,3199,2.44,0
microsoft/vscode,microsoft,vscode,175985,2015-09-03T20:23:38Z,2025-08-22T17:27:26Z,TypeScript,177,12103,193390,0.94,36261,9.97,0
twbs/bootstrap,twbs,bootstrap,172892,2011-07-29T21:19:00Z,2025-08-22T14:19:06Z,MDX,93,405,22346,0.98,8974,14.06,0
flutter/flutter,flutter,flutter,172020,2015-03-06T22:54:58Z,2025-08-22T17:19:03Z,Dart,7,11906,96937,0.89,43843,10.46,0
jackfrued/Python-100-Days,jackfrued,Python-100-Days,171160,2018-03-01T16:05:52Z,2025-08-22T15:24:31Z,Jupyter Notebook,0,573,118,0.17,13,7.48,0
github/gitignore,github,gitignore,168810,2010-11-08T20:17:14Z,2025-08-22T17:00:39Z,Unknown,0,0,0,0.0,1713,14.78,0
jlevy/the-art-of-command-line,jlevy,the-art-of-command-line,157860,2015-05-20T15:11:03Z,2025-08-22T12:08:07Z,Unknown,0,122,136,0.53,317,10.26,0
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,155833,2022-08-22T14:05:26Z,2025-08-22T17:24:20Z,Python,27,2363,5467,0.7,1874,3.0,0
Snailclimb/JavaGuide,Snailclimb,JavaGuide,151377,2018-05-07T13:27:00Z,2025-08-22T14:53:14Z,Java,0,72,1032,0.93,1180,7.29,0
ollama/ollama,ollama,ollama,150716,2023-06-26T19:39:32Z,2025-08-22T17:18:05Z,Go,143,1774,6234,0.78,2470,2.15,0
avelino/awesome-go,avelino,awesome-go,150547,2014-07-06T13:42:15Z,2025-08-22T17:27:31Z,Go,0,6,681,0.99,3458,11.13,0
huggingface/transformers,huggingface,transformers,148664,2018-10-29T13:56:00Z,2025-08-22T17:25:42Z,Python,224,1082,16737,0.94,16678,6.81,0
airbnb/javascript,airbnb,javascript,147286,2012-11-01T23:13:50Z,2025-08-22T15:54:03Z,JavaScript,0,98,1269,0.93,810,12.8,0
massgravel/Microsoft-Activation-Scripts,massgravel,Microsoft-Activation-Scripts,145587,2020-01-12T23:03:34Z,2025-08-22T17:27:05Z,Batchfile,24,0,721,1.0,6,5.61,0
ytdl-org/youtube-dl,ytdl-org,youtube-dl,136943,2010-10-31T14:35:07Z,2025-08-22T15:28:51Z,Python,341,3643,23125,0.86,1642,14.81,0
